onset	duration	trial_type	value	sample
197.568	0.0	Marker/0.0	1	49392
198.476	0.0	Marker/0.0	1	49619
199.376	0.0	Marker/0.0	1	49844
200.296	0.0	Marker/1.0	2	50074
201.2	0.0	Marker/0.0	1	50300
202.108	0.0	Marker/0.0	1	50527
202.996	0.0	Marker/0.0	1	50749
203.92	0.0	Marker/0.0	1	50980
204.82	0.0	Marker/0.0	1	51205
205.728	0.0	Marker/0.0	1	51432
206.62	0.0	Marker/0.0	1	51655
207.544	0.0	Marker/0.0	1	51886
208.444	0.0	Marker/0.0	1	52111
209.352	0.0	Marker/0.0	1	52338
210.252	0.0	Marker/0.0	1	52563
211.164	0.0	Marker/1.0	2	52791
212.072	0.0	Marker/0.0	1	53018
212.976	0.0	Marker/0.0	1	53244
213.884	0.0	Marker/0.0	1	53471
214.792	0.0	Marker/1.0	2	53698
215.692	0.0	Marker/0.0	1	53923
216.632	0.0	Marker/0.0	1	54158
217.552	0.0	Marker/1.0	2	54388
218.456	0.0	Marker/0.0	1	54614
219.364	0.0	Marker/1.0	2	54841
220.268	0.0	Marker/1.0	2	55067
221.18	0.0	Marker/0.0	1	55295
222.088	0.0	Marker/1.0	2	55522
222.988	0.0	Marker/0.0	1	55747
223.904	0.0	Marker/0.0	1	55976
224.796	0.0	Marker/0.0	1	56199
225.712	0.0	Marker/0.0	1	56428
226.612	0.0	Marker/1.0	2	56653
227.524	0.0	Marker/0.0	1	56881
228.428	0.0	Marker/1.0	2	57107
229.336	0.0	Marker/0.0	1	57334
230.248	0.0	Marker/1.0	2	57562
231.152	0.0	Marker/0.0	1	57788
232.06	0.0	Marker/0.0	1	58015
232.968	0.0	Marker/0.0	1	58242
233.876	0.0	Marker/0.0	1	58469
234.78	0.0	Marker/1.0	2	58695
235.692	0.0	Marker/0.0	1	58923
236.6	0.0	Marker/0.0	1	59150
237.512	0.0	Marker/0.0	1	59378
238.412	0.0	Marker/0.0	1	59603
239.316	0.0	Marker/0.0	1	59829
240.232	0.0	Marker/1.0	2	60058
241.132	0.0	Marker/0.0	1	60283
242.036	0.0	Marker/0.0	1	60509
242.948	0.0	Marker/1.0	2	60737
243.856	0.0	Marker/0.0	1	60964
244.74	0.0	Marker/0.0	1	61185
245.668	0.0	Marker/0.0	1	61417
246.576	0.0	Marker/0.0	1	61644
247.484	0.0	Marker/0.0	1	61871
248.392	0.0	Marker/1.0	2	62098
249.3	0.0	Marker/0.0	1	62325
250.2	0.0	Marker/1.0	2	62550
251.12	0.0	Marker/0.0	1	62780
252.008	0.0	Marker/0.0	1	63002
252.924	0.0	Marker/1.0	2	63231
253.836	0.0	Marker/0.0	1	63459
254.748	0.0	Marker/0.0	1	63687
255.648	0.0	Marker/0.0	1	63912
256.552	0.0	Marker/1.0	2	64138
257.46	0.0	Marker/0.0	1	64365
258.364	0.0	Marker/0.0	1	64591
